概念#解释#父概念
\\neg#否定联结词#联结词
\\oplus#异或联结词#联结词
\\rightarrow#蕴含联结词。若...则...#联结词
\\land#合取联结词#联结词
\\lor#析取联结词#联结词
\\leftrightarrow#等价联结词。当且仅当#联结词
\\uparrow#与非联结词。P不成立或 Q不成立#联结词
\\downarrow#或非联结词。P不成立且 Q不成立#联结词
\\Leftrightarrow#为等值式或逻辑等价式。#联结词
*#对偶式#命题逻辑
\\subset#真子集#集合
\\subseteq#子集#集合
\\in#属于#集合
\\forall#对于任意元素#集合
\\exists#存在元素#集合
\\aleph#连续基数或连续统的势#函数
\\cup#集合#集合
